locale;category_id;name;name_slug;singular_name;singular_name_slug
es_ES;2e3fcace-3ac2-4024-8d55-ca6a5f68ba41;Reloj SmartWatch;reloj-smartwatch;;
es_ES;51b97b4f-a7e0-480a-94b1-4f2435b20a96;Accesorios Smartwatch;accesorios-smartwatch;;
es_ES;30419dee-eceb-4003-931e-e12732af467d;GPS Automoción;gps-automocion;;
es_ES;a26bd231-ea48-46e3-ac8d-6185957e5db0;Fundas para Tablets;fundas-para-tablets;;
es_ES;717723ae-242e-42de-bba2-9f55ee48cf3c;Soportes para Tablets;soportes-para-tablets;;
es_ES;97c12015-80c0-4e24-98ba-37d94c9e8a1e;Protectores de Pantalla;protectores-de-pantalla;;
es_ES;f67879b2-0908-4769-be70-96c39f0d5622;Cargadores para Tablets;cargadores-para-tablets;;
es_ES;7f7a571c-a57d-40ba-a25c-997c2a14bb11;Otros Accesorios para Tablets;otros-accesorios-para-tablets;;
es_ES;56eff21f-d67f-4ace-9cda-ee9967f3551c;Pen Stylus;pen-stylus;;
es_ES;3d7087f8-5a09-4859-847b-b34c7b94803d;Robótica;robotica;;
es_ES;73ae7eba-25aa-4f8b-b599-dca1e118280f;Robótica Educativa;robotica-educativa;;
es_ES;134a067f-6ad5-416f-b4b2-6ece70ef871d;Iluminación Hogar;iluminacion-hogar;;
es_ES;1be1fb86-ae24-4313-a9fe-fc0d9424d615;Herramienta de Mano;herramienta-de-mano;;
es_ES;40526d98-7ea3-4687-a4e4-d7adbfed2f55;Walkie Talkie;walkie-talkie;;
es_ES;982f327a-fe61-4085-bec8-67bed6e255f4;Herramienta Eléctrica;herramienta-electrica;;
es_ES;18fc8488-1dad-4e98-8dca-8fed95cfbddd;Mata Insectos;mata-insectos;;
es_ES;2854ca24-fe91-4b04-833d-6a1a454d3120;Mesas Gaming;mesas-gaming;;
es_ES;097c2ae5-1b85-43d0-8ce2-8f5257674aaa;Aspiradoras;aspiradoras;;
es_ES;0b3c0795-ab4e-4304-8b87-79368e92a9ed;Hidrolimpiadoras;hidrolimpiadoras;;
es_ES;4a9b0ed5-fc2e-4b46-943b-7f0a1eccbf93;Máquinas de Coser;maquinas-de-coser;;
es_ES;959bfa46-a867-41fb-a9e8-66e0ec539be4;Termómetros;termometros;;
es_ES;2de4cd76-ca73-4db1-8527-ce0670e4266f;Salud y bienestar;salud-y-bienestar;;
es_ES;f894ed35-0ca9-41af-87af-801fe075e34a;Cortapelos;cortapelos;;
es_ES;230d4f6a-13fa-4219-91ed-cafcf46f93de;Depiladoras;depiladoras;;
es_ES;96019914-156a-4fce-95bb-6c9e01666e9a;Afeitadoras;afeitadoras;;
